ཀུམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ལྡུགས | ལྡུགས_འདས་པ།_ཐ་དད་པ+ལྡུག_འདས་པ།_ཐ་དད་པ+ལྡུག_སྐུལ་ཚིག_ཐ་དད་པ+ལྡུགས_སྐུལ་ཚིག_ཐ་དད་པ
ལྡུད | བླུད_ད་ལྟ་བ།_ཐ་དད་པ+ལྡུད_མ་འོངས་པ།_ཐ་དད་པ+བླུད_མ་འོངས་པ།_ཐ་དད་པ+ལྡུད_ད་ལྟ་བ།_ཐ་དད་པ
ལྡུར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ལྡེ | ལྡེ_མ་འོངས་པ།_ཐ་དད་པ+ལྡེས_ད་ལྟ་བ།_ཐ་མི་དད་པ+ལྡེ_ད་ལྟ་བ།_ཐ་དད་པ+ལྡེས_མ་འོངས་པ།_ཐ་མི་དད་པ
ལྡེག | ལྡེག_ད་ལྟ་བ།_ཐ་དད་པ+ལྡེག_ད་ལྟ་བ།_ཐ་མི་དད་པ
ལྡེགས | ལྡེག_སྐུལ་ཚིག_ཐ་དད་པ
ལྡེང | ལྡེང_ད་ལྟ་བ།_ཐ་མི་དད་པ+ལྡེང_མ་འོངས་པ།_ཐ་མི་དད་པ
ལྡེངས | ལྡེང_འདས་པ།_ཐ་མི་དད་པ
ལྡེབ | བལྡབས_ད་ལྟ་བ_འབྲི་ཚུལ
ལྡེམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ལྡེས | ལྡེ_འདས་པ།_ཐ་དད་པ+ལྡེས_སྐུལ་ཚིག_ཐ་མི་དད་པ+ལྡེས_འདས་པ།_ཐ་མི་དད་པ+ལྡེ_སྐུལ་ཚིག_ཐ་དད་པ
ལྡོག | བྱ་ཚིག_###+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ལྡོགས | བལྡགས_སྐུལ་ཚིག_ཐ་དད་པ+ལྡག_སྐུལ་ཚིག_ཐ་དད་པ
ལྡོང | ལྡོང_ད་ལྟ་བ།_ཐ་མི་དད་པ+ལྡོང_མ་འོངས་པ།_ཐ་མི་དད་པ
ལྡོངས | ལྡིང_སྐུལ་ཚིག_ཐ་མི་དད་པ+ལྡོང_འདས་པ།_ཐ་མི་དད་པ+ལྡང_སྐུལ་ཚིག_###
ལྡོད | བལྡད_སྐུལ་ཚིག_ཐ་དད་པ+ལྡད_སྐུལ་ཚིག_ཐ་དད་པ
ལྡོན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ལྡོབ | ལྡོབ_མ་འོངས་པ།_ཐ་མི་དད་པ+ལྡོབ_ད་ལྟ་བ།_ཐ་མི་དད་པ
ལྡོབས | ལྡོབ_འདས་པ།_ཐ་མི་དད་པ+ལྡབ_སྐུལ་ཚིག_ཐ་དད་པ+ལྡོབས_སྐུལ་ཚིག_ཐ་དད་པ
ལྡོམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ལྦོས | བྱ་ཚིག_ཐ་མི་དད་པ+སྦོས_འབྲི་ཚུལ
ལྷགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ལྷུག | ལྷུག_མ་འོངས་པ།_ཐ་མི་དད་པ+ལྷུག_ད་ལྟ་བ།_ཐ་མི་དད་པ
ལྷུགས | ལྷུག_འདས་པ།_ཐ་མི་དད་པ+བླུག_སྐུལཚིག_འབྲི་ཚུལ
ལྷུང | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ལྷོགས | བྱ་ཚིག_###
ལྷོང | ལྷོང_ད་ལྟ་བ།_###+ལྷོང_མ་འོངས་པ།_###+ལྷོང_མ་འོངས་པ།_ཐ་མི་དད་པ+ལྷོང_ད་ལྟ་བ།_ཐ་མི་དད་པ
ལྷོངས | ལྷོང_འདས་པ།_ཐ་མི་དད་པ+ལྷོང_འདས་པ།_###
ལྷོད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ལྷོན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཤན | བྱ་ཚིག_###+བྱ་ཚིག_ཐ་དད་པ
ཤབ | ཤབ_ད་ལྟ་བ།_ཐ་དད་པ+ཤབ_མ་འོངས་པ།_ཐ་དད་པ
ཤབས | ཤབ_འདས་པ།_ཐ་དད་པ
ཤར | འཆར_འདས་པ།_ཐ་མི་དད་པ+འཆར_འདས་པ།_###
ཤི | འཆི_འདས་པ།_ཐ་མི་དད་པ+འཆི_འདས་པ།_###
ཤིག | འཇིག_སྐུལ་ཚིག_ཐ་དད་པ+ཤིག_ད་ལྟ་བ།_ཐ་དད་པ
ཤིགས | ཤིག_སྐུལ་ཚིག_ཐ་དད་པ
ཤིང | བྱ་ཚིག_ཐ་མི་དད་པ
ཤིས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཤུག | ཤུག_ད་ལྟ་བ།_ཐ་དད་པ
ཤུགས | ཤུག_སྐུལ་ཚིག_ཐ་དད་པ
ཤུངས | གཤུང_སྐུལ་ཚིག_ཐ་དད་པ
ཤུད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བཤུད_སྐུལ་ཚིག_ཐ་དད་པ
ཤུབ | ཤུབ_ད་ལྟ་བ།_ཐ་དད་པ
ཤུབས | ཤུབ_སྐུལ་ཚིག_ཐ་དད་པ
ཤུམ | ཤུམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཤུམས_ད་ལྟ་བ།_ཐ་མི་དད་པ
ཤུམས | ཤུམས_སྐུལ་ཚིག_ཐ་མི་དད་པ+ཤུམ_སྐུལ་ཚིག_ཐ་མི་དད་པ
ཤུར | གཤུར_སྐུལ་ཚིག_ཐ་དད་པ+བཤུར_སྐུལ་ཚིག_ཐ་དད་པ
ཤུས | བཤུ_སྐུལ་ཚིག_###+བཤུ_སྐུལ་ཚིག_ཐ་དད་པ
ཤེར | བཤེར_སྐུལ་ཚིག_ཐ་དད་པ+གཤེར_སྐུལ་ཚིག_###
ཤེས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ཤོ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཤོག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཤོགས | འཆགས_སྐུལ་ཚིག_འབྲི་ཚུལ
ཤོང | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཤོངས | གཤོང_སྐུལཚིག_འབྲི་ཚུལ
ཤོད | འཆད_སྐུལ་ཚིག_ཐ་དད་པ+བཤད_སྐུལ་ཚིག_ཐ་དད་པ
ཤོབས | ཤབ_སྐུལ་ཚིག_ཐ་དད་པ
ཤོམ | གཤོམ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
ཤོམས | གཤོམ_སྐུལ་ཚིག_ཐ་དད་པ+གཤོམ_སྐུལ་ཚིག_###
ཤོར | འཆོར_འདས་པ།_###+འཆོར_འདས་པ།_ཐ་མི་དད་པ
ཤོལ | བཤལ_སྐུལ་ཚིག_###+བཤལ_སྐུལ་ཚིག_ཐ་དད་པ
ཤོས | གཤོ_སྐུལ་ཚིག_ཐ་དད་པ
སངས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སིགས | གསིག_སྐུལ་ཚིག_ཐ་དད་པ
སིམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
སུན | བསུན_ད་ལྟ་བ།_ཐ་མི་དད་པ+སུན_ད་ལྟ་བ།_ཐ་མི་དད་པ
སུབ | སུབ_ད་ལྟ་བ།_ཐ་དད་པ
སུབས | སུབ_སྐུལ་ཚིག_ཐ་དད་པ
སུམ | སུམ_ད་ལྟ་བ།_ཐ་དད་པ
སུམས | སུམ_སྐུལ་ཚིག_ཐ་དད་པ
སུས | བསུ_སྐུལ་ཚིག_འབྲི་ཚུལ
སེག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སེང | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སེད | གསེད_སྐུལ་ཚིག_འབྲི་ཚུལ
སེམས | སེམས_ད་ལྟ་བ།_ཐ་དད་པ
སེར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སེལ | བསལ_ད་ལྟ་བ།_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+སེལ_ད་ལྟ་བ།_ཐ་དད་པ+སེལ_ད་ལྟ་བ།_###
སོགས | གསོག_སྐུལ་ཚིག_ཐ་དད་པ+གསོག_སྐུལ་ཚིག_###
སོང | འགྲོ_སྐུལ་ཚིག_ཐ་མི་དད་པ+སོང_འདས་པ།_ཐ་མི་དད་པ+འགྲོ_འདས་པ།_ཐ་མི་དད་པ+སོང_སྐུལ་ཚིག_ཐ་མི་དད་པ+འགྲོ_འདས་པ།_###
སོངས | བསང_སྐུལ་ཚིག_ཐ་དད་པ
སོད | གསོད_སྐུལ་ཚིག_ཐ་དད་པ+གསོད_སྐུལ་ཚིག_###
སོན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སོབས | གསོབ_སྐུལ་ཚིག_ཐ་དད་པ+གསོབ_སྐུལ་ཚིག_###
སོམས | སེམས_སྐུལ་ཚིག_ཐ་དད་པ
སོལ | སེལ_སྐུལ་ཚིག_###+སེལ_སྐུལ་ཚིག_ཐ་དད་པ+བསལ_སྐུལ་ཚིག_ཐ་དད་པ
སོས | གསོ_སྐུལཚིག_འབྲི་ཚུལ+བྱ་ཚིག_###+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སྐུག | སྐུག_ད་ལྟ་བ།_ཐ་དད་པ
སྐུགས | སྐུག_སྐུལ་ཚིག_ཐ་དད་པ
སྐུང | སྐུང_ད་ལྟ་བ།_ཐ་དད་པ
སྐུངས | སྐུང_སྐུལ་ཚིག_ཐ་དད་པ
སྐུད | སྐུད_ད་ལྟ་བ།_ཐ་དད་པ
སྐུམ | སྐུམ_ད་ལྟ་བ།_ཐ་དད་པ
སྐུམས | སྐུམ_སྐུལ་ཚིག_ཐ་དད་པ
སྐུར | སྐུར_སྐུལ་ཚིག_###+བསྐུར_ད་ལྟ་བ།_ཐ་དད་པ+སྐུར_ད་ལྟ་བ།_ཐ་དད་པ+སྐུར_སྐུལ་ཚིག_ཐ་དད་པ+སྐུར_ད་ལྟ་བ།_###+བསྐུར_སྐུལ་ཚིག_ཐ་དད་པ
སྐུལ | བསྐུལ_སྐུལ་ཚིག_ཐ་དད་པ+བསྐུལ_ད་ལྟ་བ།_ཐ་དད་པ+སྐུལ_སྐུལ་ཚིག_ཐ་དད་པ+སྐུལ_ད་ལྟ་བ།_ཐ་དད་པ
སྐུས | སྐུད_སྐུལ་ཚིག_ཐ་དད་པ
སྐེམ | སྐེམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+སྐེམ_ད་ལྟ་བ།_ཐ་དད་པ
སྐེམས | སྐེམ_སྐུལཚིག_འབྲི་ཚུལ
སྐོ | སྐོ_ད་ལྟ་བ།_ཐ་དད་པ
སྐོང | སྐོང_ད་ལྟ་བ།_ཐ་དད་པ+སྐོང_ད་ལྟ་བ།_###
སྐོངས | སྐོང_སྐུལ་ཚིག_ཐ་དད་པ+སྐོང_སྐུལ་ཚིག_###
སྐོན | སྐོན_ད་ལྟ་བ།_ཐ་དད་པ+བསྐོན_ད་ལྟ་བ།_ཐ་དད་པ+བསྐོན_སྐུལ་ཚིག_ཐ་དད་པ+སྐོན_སྐུལ་ཚིག_ཐ་དད་པ
སྐོམ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
སྐོམས | སྐེམ_སྐུལ་ཚིག_ཐ་དད་པ
སྐོར | སྐོར_སྐུལ་ཚིག_###+སྐོར_ད་ལྟ་བ།_ཐ་དད་པ+བསྐོར_སྐུལ་ཚིག_ཐ་དད་པ+བསྐོར_ད་ལྟ་བ།_ཐ་དད་པ+སྐོར_སྐུལ་ཚིག_ཐ་དད་པ+སྐོར_ད་ལྟ་བ།_###
སྐོལ | བསྐོལ_སྐུལ་ཚིག_ཐ་དད་པ+བསྐོལ_ད་ལྟ་བ།_ཐ་དད་པ+སྐོལ_ད་ལྟ་བ།_ཐ་དད་པ
སྐོས | སྐོ_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱ | སྐྱ_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱི | སྐྱི_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱིལ | བསྐྱིལ_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱིལ_སྐུལ་ཚིག_###+སྐྱིལ_ད་ལྟ་བ།_ཐ་དད་པ+བསྐྱིལ_སྐུལ་ཚིག_ཐ་དད་པ+སྐྱིལ_སྐུལ་ཚིག_ཐ་དད་པ+སྐྱིལ_ད་ལྟ་བ།_###
སྐྱིས | སྐྱི_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱུག | སྐྱུག_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱུགས | སྐྱུག_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱུང | སྐྱུང_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱུངས | སྐྱུང_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱུད | སྐྱུད_ད་ལྟ་བ།_ཐ་དད་པ+བསྐྱུད_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱུར | སྐྱུར_སྐུལ་ཚིག_ཐ་དད་པ+སྐྱུར_ད་ལྟ་བ།_###+བསྐྱུར_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱུར_སྐུལ་ཚིག_###+སྐྱུར_ད་ལྟ་བ།_ཐ་དད་པ+བསྐྱུར_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱེ | སྐྱེ_མ་འོངས་པ།_ཐ་མི་དད་པ+སྐྱེ_ད་ལྟ་བ།_ཐ་མི་དད་པ
སྐྱེངས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སྐྱེད | སྐྱེད_སྐུལ་ཚིག_ཐ་དད་པ+བསྐྱེད_སྐུལ་ཚིག_ཐ་དད་པ+སྐྱེད_ད་ལྟ་བ།_ཐ་དད་པ+བསྐྱེད_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱེད_ད་ལྟ་བ།_###+སྐྱེད_སྐུལ་ཚིག_###
སྐྱེལ | སྐྱེལ_ད་ལྟ་བ།_ཐ་དད་པ+བསྐྱལ_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱེལ_ད་ལྟ་བ།_###
སྐྱེས | སྐྱེ_འདས་པ།_ཐ་མི་དད་པ
སྐྱོ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
སྐྱོག | སྐྱོག_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱོག_ད་ལྟ་བ།_###
སྐྱོགས | སྐྱོག_སྐུལ་ཚིག_ཐ་དད་པ+སྐྱོག_སྐུལ་ཚིག_###
སྐྱོང | བསྐྱངས_ད་ལྟ་བ།_ཐ་དད་པ+བསྐྱང_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱོང_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱོང_ད་ལྟ་བ།_###
སྐྱོངས | སྐྱོང_སྐུལ་ཚིག_###+སྐྱོང_སྐུལ་ཚིག_ཐ་དད་པ+བསྐྱང_སྐུལ་ཚིག_ཐ་དད་པ+བསྐྱངས_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱོད | སྐྱོད_སྐུལ་ཚིག_ཐ་དད་པ+སྐྱོད_སྐུལ་ཚིག_###+སྐྱོད_ད་ལྟ་བ།_###+བསྐྱོད_སྐུལ་ཚིག_ཐ་དད་པ+བསྐྱོད_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱོད_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱོན | བསྐྱོན_སྐུལ་ཚིག_ཐ་དད་པ+སྐྱོན_སྐུལ་ཚིག_ཐ་དད་པ+བསྐྱོན_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱོན_ད་ལྟ་བ།_###+སྐྱོན_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱོན_སྐུལ་ཚིག_###
སྐྱོབ | སྐྱོབ_ད་ལྟ་བ།_ཐ་དད་པ+བསྐྱབས_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱོབས | བསྐྱབས_སྐུལ་ཚིག_ཐ་དད་པ+སྐྱོབ_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱོམ | སྐྱོམ_ད་ལྟ་བ།_###+སྐྱོམ_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱོམས | སྐྱོམ_སྐུལ་ཚིག_ཐ་དད་པ+སྐྱོམ_སྐུལ་ཚིག_###
སྐྱོར | བསྐྱོར_སྐུལ་ཚིག_###+སྐྱོར_ད་ལྟ་བ།_###+སྐྱོར_སྐུལ་ཚིག_ཐ་དད་པ+བསྐྱར_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱོར_སྐུལ་ཚིག_###+བསྐྱོར_ད་ལྟ་བ།_###+སྐྱོར_ད་ལྟ་བ།_ཐ་དད་པ+བསྐྱར_སྐུལ་ཚིག_ཐ་དད་པ+བསྐྱོར_སྐུལ་ཚིག_ཐ་དད་པ+བསྐྱོར_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱོལ | སྐྱེལ_སྐུལ་ཚིག_###+སྐྱེལ_སྐུལ་ཚིག_ཐ་དད་པ+བསྐྱལ_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱོས | སྐྱ_སྐུལ་ཚིག_ཐ་དད་པ
སྐྲག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སྐྲང | སྐྲང_མ་འོངས་པ།_ཐ་དད་པ+སྐྲང_ད་ལྟ་བ།_ཐ་དད་པ
སྐྲངས | སྐྲང_འདས་པ།_ཐ་དད་པ
སྐྲབ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
སྐྲུ | སྐྲུ_ད་ལྟ་བ།_ཐ་དད་པ+སྐྲུ_ད་ལྟ་བ།_###
སྐྲུན | སྐྲུན_སྐུལ་ཚིག_ཐ་དད་པ+བསྐྲུན_སྐུལ་ཚིག_ཐ་དད་པ+བསྐྲུན_ད་ལྟ་བ།_ཐ་དད་པ+སྐྲུན_ད་ལྟ་བ།_ཐ་དད་པ
སྐྲུས | སྐྲུ_སྐུལ་ཚིག_ཐ་དད་པ+སྐྲུ_སྐུལ་ཚིག_###
སྐྲོག | སྐྲོག_ད་ལྟ་བ།_ཐ་དད་པ+དཀྲོག_འབྲི་ཚུལ+སྐྲོག_ད་ལྟ་བ།_###
སྐྲོགས | སྐྲོག_སྐུལ་ཚིག_###+སྐྲོག_སྐུལ་ཚིག_ཐ་དད་པ
སྐྲོད | བསྐྲད_སྐུལ་ཚིག_ཐ་དད་པ+བསྐྲད_ད་ལྟ་བ།_ཐ་དད་པ+སྐྲོད_སྐུལ་ཚིག_ཐ་དད་པ+སྐྲོད_ད་ལྟ་བ།_ཐ་དད་པ
སྒབ | སྒབ_ད་ལྟ་བ།_ཐ་དད་པ
སྒར | སྒར_ད་ལྟ་བ།_ཐ་དད་པ+བསྒར_ད་ལྟ་བ།_###
སྒུག | སྒུགས_ད་ལྟ་བ།_ཐ་དད་པ+སྒུག_ད་ལྟ་བ།_ཐ་དད་པ
སྒུགས | སྒུགས_སྐུལ་ཚིག_ཐ་དད་པ+སྒུག_སྐུལ་ཚིག_ཐ་དད་པ
སྒུར | བསྒུར_ད་ལྟ་བ།_ཐ་དད་པ+བསྒུར_སྐུལ་ཚིག_ཐ་དད་པ+སྒུར_སྐུལ་ཚིག_ཐ་མི་དད་པ+སྒུར_ད་ལྟ་བ།_ཐ་མི་དད་པ
སྒུལ | སྒུལ_ད་ལྟ་བ།_ཐ་དད་པ+བསྒུལ_ད་ལྟ་བ།_ཐ་དད་པ+བསྒུལ_སྐུལ་ཚིག_ཐ་དད་པ+སྒུལ_སྐུལ་ཚིག_ཐ་དད་པ
སྒོ | སྒོ_ད་ལྟ་བ།_ཐ་དད་པ+བསྒོས_ད་ལྟ་བ།_ཐ་དད་པ+སྒོ_ད་ལྟ་བ།_###
སྒོག | སྒོག_ད་ལྟ་བ།_###+སྒོག_ད་ལྟ་བ།_ཐ་དད་པ
སྒོགས | སྒོག_སྐུལ་ཚིག_###+སྒོག_སྐུལ་ཚིག_ཐ་དད་པ
སྒོང | སྒོང_ད་ལྟ་བ།_ཐ་དད་པ
སྒོངས | སྒོང_སྐུལ་ཚིག_ཐ་དད་པ
སྒོབས | སྒབ_སྐུལ་ཚིག_ཐ་དད་པ
སྒོམ | སྒོམ_ད་ལྟ་བ།_ཐ་དད་པ
སྒོམས | སྒོམ_སྐུལ་ཚིག_ཐ་དད་པ
སྒོར | སྒར_སྐུལ་ཚིག_ཐ་དད་པ+བསྒར_སྐུལ་ཚིག_ཐ་དད་པ+སྒོར_སྐུལ་ཚིག_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_###+སྒོར_ད་ལྟ་བ།_ཐ་དད་པ+བསྒར_ད་ལྟ་བ།_ཐ་དད་པ+བསྒར_སྐུལ་ཚིག_###
སྒོས | སྒོ_སྐུལ་ཚིག_ཐ་དད་པ+བསྒོས_སྐུལ་ཚིག_ཐ་དད་པ+སྒོ_སྐུལ་ཚིག_###
སྒྱང | སྒྱང_ད་ལྟ་བ།_ཐ་དད་པ
སྒྱིང | སྒྱིང_ད་ལྟ་བ།_###+སྒྱིང_ད་ལྟ་བ།_ཐ་དད་པ
སྒྱིངས | སྒྱིང_སྐུལ་ཚིག_###+སྒྱིང_སྐུལ་ཚིག_ཐ་དད་པ
སྒྱུར | སྒྱུར_ད་ལྟ་བ།_###+བསྒྱུར_སྐུལ་ཚིག_ཐ་དད་པ+སྒྱུར_སྐུལ་ཚིག_ཐ་དད་པ+སྒྱུར_ད་ལྟ་བ།_ཐ་དད་པ+བསྒྱུར_ད་ལྟ་བ།_ཐ་དད་པ+སྒྱུར_སྐུལ་ཚིག_###
སྒྱེལ | སྒྱེལ_ད་ལྟ་བ།_ཐ་དད་པ+བསྒྱེལ_ད་ལྟ་བ།_ཐ་དད་པ+སྒྱེལ_སྐུལ་ཚིག_ཐ་དད་པ+བསྒྱེལ_སྐུལ་ཚིག_ཐ་དད་པ
སྒྱོངས | སྒྱང_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲང | སྒྲང_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲིག | སྒྲིག_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲིགས | སྒྲིག_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲིན | བསྒྲིན_ད་ལྟ་བ།_ཐ་དད་པ+བསྒྲིན_སྐུལ་ཚིག_ཐ་དད་པ+སྒྲིན_ད་ལྟ་བ།_ཐ་དད་པ+སྒྲིན_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲིབ | སྒྲིབ_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲིབས | སྒྲིབ_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲིམ | སྒྲིམ_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲིམས | སྒྲིམ_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲིལ | སྒྲིལ_སྐུལ་ཚིག_ཐ་དད་པ+སྒྲིལ_ད་ལྟ་བ།_ཐ་དད་པ+སྒྲིལ_སྐུལ་ཚིག_###+བསྒྲིལ_སྐུལ་ཚིག_ཐ་དད་པ+སྒྲིལ_ད་ལྟ་བ།_###+བསྒྲིལ_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲུག | སྒྲུག_ད་ལྟ་བ།_###+སྒྲུག_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲུགས | སྒྲུག_སྐུལ་ཚིག_###+སྒྲུག_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲུང | སྒྲུང_ད་ལྟ་བ།_ཐ་དད་པ+སྒྲུངས_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲུངས | སྒྲུང_སྐུལ་ཚིག_ཐ་དད་པ+སྒྲུངས_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲུན | སྒྲུན_སྐུལ་ཚིག_ཐ་དད་པ+བསྒྲུན_སྐུལ་ཚིག_ཐ་དད་པ+བསྒྲུན_ད་ལྟ་བ།_ཐ་དད་པ+སྒྲུན_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲུབ | སྒྲུབ_ད་ལྟ་བ།_###+སྒྲུབ_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲུབས | སྒྲུབ_སྐུལ་ཚིག_###+སྒྲུབ_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲེ | སྒྲེ_ད་ལྟ་བ།_ཐ་དད་པ+སྒྲེ_ད་ལྟ་བ།_###+བསྒྲེས_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲེང | སྒྲེང_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲེངས | སྒྲེང_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲེས | སྒྲེ_སྐུལ་ཚིག_###+བསྒྲེས_སྐུལ་ཚིག_ཐ་དད་པ+སྒྲེ_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲོ | སྒྲོ_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲོག | སྒྲོག_ད་ལྟ་བ།_###+སྒྲོག_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲོགས | སྒྲོག_སྐུལ་ཚིག_ཐ་དད་པ+སྒྲོག_སྐུལ་ཚིག_###
སྒྲོངས | སྒྲང_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲོད | སྒྲོད_ད་ལྟ་བ།_ཐ་དད་པ+སྒྲོད_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲོན | བསྒྲོན_སྐུལ་ཚིག_ཐ་དད་པ+བསྒྲོན_ད་ལྟ་བ།_ཐ་དད་པ+སྒྲོན_སྐུལ་ཚིག_###+སྒྲོན_ད་ལྟ་བ།_ཐ་དད་པ+སྒྲོན_སྐུལ་ཚིག_ཐ་དད་པ+སྒྲོན_ད་ལྟ་བ།_###
སྒྲོལ | བསྒྲལ_སྐུལ་ཚིག_ཐ་དད་པ+སྒྲོལ_སྐུལ་ཚིག_###+བསྒྲལ_ད་ལྟ་བ།_ཐ་དད་པ+སྒྲོལ_སྐུལ་ཚིག_ཐ་དད་པ+སྒྲོལ_ད་ལྟ་བ།_###+སྒྲོལ_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲོས | སྒྲོ_སྐུལ་ཚིག_ཐ་དད་པ
སྔག | བསྔགས_ད་ལྟ་བ_འབྲི་ཚུལ
སྔངས | སྔངས_ད་ལྟ་བ།_ཐ་མི་དད་པ
སྔབ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སྔམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སྔོ | སྔོ_ད་ལྟ་བ།_ཐ་དད་པ+བསྔོས_ད་ལྟ་བ།_ཐ་དད་པ
སྔོག | སྔོག_ད་ལྟ་བ།_ཐ་དད་པ+སྔོག_ད་ལྟ་བ།_###
སྔོགས | སྔོག_སྐུལ་ཚིག_###+སྔོག_སྐུལ་ཚིག_ཐ་དད་པ
སྔོངས | སྔངས_སྐུལ་ཚིག_འབྲི་ཚུལ
སྔོས | སྔོ_སྐུལ་ཚིག_ཐ་དད་པ+བསྔོས_སྐུལ་ཚིག_ཐ་དད་པ
